Gene	ManipCLF_Col_1	ManipCLF_Col_2	ManipCLF_clf_1	ManipCLF_clf_2	RNA_Col_1	RNA_Col_2	RNA_Col_3	RNA_lhp1_1	RNA_lhp1_2	RNA_lhp1_3	RNA_lhp1ref6_1	RNA_lhp1ref6_2	RNA_lhp1ref6_3	RNA_ref6_1	RNA_ref6_2	RNA_ref6_3	JS_Col-1_S5	JS_Col-2_S6	JS_EPIB1-1_S5	JS_EPIB1-2_S6	JS_EPIC6-1_S7	JS_EPIC6-2_S8	JS_elf6-1_S1	JS_elf6-2_S2	JS_ref6-1_S7	JS_ref6-2_S8	JS_ref6elf6-1_S3	JS_ref6elf6-2_S4
AT1G01010	549	602	444	744	279	444	242	407	423	283	491	311	435	442	304	445	431	498	346	303	509	382	296	379	387	322	308	282
AT1G01020	739	872	554	1143	714	1073	644	928	869	608	788	941	869	996	903	987	1527	1559	1117	1136	1326	1363	1270	1533	1254	1477	1541	1615
AT1G03987	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
AT1G01030	459	437	259	447	201	261	156	243	263	175	386	410	502	379	285	331	166	215	136	113	138	83	170	238	258	167	262	204
AT1G01040	3065	3311	2353	3426	3200	3576	2205	2982	3112	1950	3544	3020	4788	4034	2805	3882	4077	4801	2883	2570	3824	1747	3669	4150	4922	3574	4506	4434
AT1G03993	5	12	2	2	5	2	2	1	5	3	2	2	6	4	1	3	10	22	2	3	12	1	13	9	6	5	1	5
AT1G01046	12	14	11	9	12	20	13	16	18	8	9	11	21	31	15	21	32	29	15	18	26	8	15	25	30	35	29	28
AT1G01050	3600	3765	2819	5017	2443	3445	2116	3397	3858	2321	3132	2990	3968	3114	2448	3423	2461	2925	2401	2221	2629	2110	2563	2620	2982	2355	2768	2392
AT1G03997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01060	17603	17165	12295	19446	616	744	365	344	463	394	290	356	420	166	178	348	130	141	259	227	179	186	146	169	95	110	103	82
AT1G01070	549	619	408	646	359	446	299	476	589	411	480	449	731	358	155	277	285	308	290	263	266	238	215	217	315	238	327	309
AT1G04003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	3305	3229	2072	3952	3363	3619	2550	2376	2890	2047	2765	2541	3358	3439	2896	4363	2964	3300	3444	2971	3190	2687	2606	2909	3630	3391	3250	2946
